LoanID,CustomerID,LoanTypeID,LoanAmount_INR,InterestRate_Pct,Term_Months,StartDate,LoanStatus
LN-000053,CUST-07147,LT-104,970000,12.32,48,2022-07-11,Active
LN-000054,CUST-05810,LT-104,940000,10.44,36,2024-07-12,Active
LN-000055,CUST-05623,LT-104,1020000,10.42,60,2023-06-23,Active
LN-000056,CUST-04215,LT-102,770000,14.92,36,2022-10-22,Fully Paid
LN-000057,CUST-07223,LT-102,740000,15.82,48,2022-03-07,Fully Paid
LN-000058,CUST-06519,LT-101,2040000,10.4,120,2021-08-31,Active
LN-000059,CUST-01063,LT-102,480000,14.5,12,2021-06-05,Fully Paid
LN-000060,CUST-07170,LT-106,800000,17.06,18,2021-06-12,Fully Paid
LN-000061,CUST-02086,LT-104,540000,9.97,48,2025-09-21,Active
LN-000062,CUST-07272,LT-102,750000,13.88,60,2024-01-07,Active
LN-000063,CUST-05849,LT-103,860000,10.06,120,2022-01-20,Active
LN-000064,CUST-07796,LT-101,2270000,9.87,360,2023-08-21,Active
LN-000065,CUST-03691,LT-101,7560000,9.91,240,2022-09-01,Active
LN-000066,CUST-05531,LT-102,1080000,15.95,36,2023-08-26,Active
LN-000067,CUST-05251,LT-101,3030000,10.02,360,2025-04-13,Active
LN-000068,CUST-05079,LT-103,1580000,10.91,84,2022-02-26,Active
LN-000069,CUST-09133,LT-102,760000,14.79,12,2025-11-08,Active
LN-000070,CUST-01749,LT-101,2880000,9.06,120,2025-08-06,Active
LN-000071,CUST-04721,LT-103,800000,10.87,120,2023-09-23,Active
LN-000072,CUST-07671,LT-103,930000,12.18,60,2025-05-19,Active
LN-000073,CUST-01595,LT-105,1880000,17.21,60,2023-08-30,Active
LN-000074,CUST-02945,LT-103,1350000,10.11,120,2022-06-29,Active
LN-000075,CUST-14896,LT-101,5710000,8.27,360,2024-10-25,Active
LN-000076,CUST-06384,LT-103,580000,10.13,120,2023-01-24,Active
LN-000077,CUST-06657,LT-106,500000,16.87,36,2023-02-12,Fully Paid
LN-000078,CUST-07013,LT-105,1740000,15.52,48,2022-09-18,Active
LN-000079,CUST-01733,LT-102,590000,14.86,12,2024-04-14,Fully Paid
LN-000080,CUST-05564,LT-103,1330000,11.99,60,2024-10-17,Active
LN-000081,CUST-14604,LT-101,5780000,7.98,360,2025-06-04,Active
LN-000082,CUST-11196,LT-101,2170000,8.54,240,2021-06-27,Active
LN-000083,CUST-04048,LT-102,500000,14.43,60,2025-11-17,Active
LN-000084,CUST-09505,LT-102,710000,13.97,24,2025-02-08,Active
LN-000085,CUST-03558,LT-105,1300000,19.93,36,2022-04-23,Defaulted
LN-000086,CUST-13085,LT-106,1020000,16.98,36,2024-05-07,Active
LN-000087,CUST-12647,LT-102,220000,13.12,48,2023-10-23,Active
LN-000088,CUST-09456,LT-102,470000,15.63,60,2025-03-19,Defaulted
LN-000089,CUST-12206,LT-101,2040000,10.29,240,2023-10-12,Active
LN-000090,CUST-14254,LT-101,7650000,8.86,180,2023-04-07,Active
LN-000091,CUST-02090,LT-101,3170000,12.46,120,2023-01-25,Active
LN-000092,CUST-09949,LT-102,840000,14.16,12,2024-07-02,Fully Paid
LN-000093,CUST-04363,LT-103,1870000,10.09,120,2022-11-02,Active
LN-000094,CUST-02937,LT-101,4060000,7.88,360,2022-02-01,Active
LN-000095,CUST-07581,LT-105,1540000,15.82,60,2021-08-29,Active
LN-000096,CUST-11597,LT-103,630000,11.04,84,2022-06-11,Active
LN-000097,CUST-00836,LT-102,730000,15.51,24,2022-07-18,Defaulted
LN-000098,CUST-13636,LT-102,670000,18.07,12,2021-12-31,Fully Paid
LN-000099,CUST-02275,LT-101,2680000,8.69,240,2024-04-23,Active
LN-000100,CUST-01131,LT-104,710000,10.67,36,2025-05-26,Active
LN-000101,CUST-05665,LT-104,1560000,10.14,48,2022-12-20,Active
LN-000102,CUST-00965,LT-102,660000,14.48,12,2024-10-17,Fully Paid
LN-000103,CUST-10514,LT-101,4880000,9.5,240,2024-04-06,Active
LN-000104,CUST-01610,LT-103,590000,9.98,84,2025-01-23,Active
LN-000105,CUST-03403,LT-102,560000,14.27,36,2023-12-25,Active
LN-000106,CUST-14495,LT-103,200000,14.36,60,2021-09-02,Active
LN-000107,CUST-04173,LT-103,1090000,10.66,120,2025-01-22,Active
LN-000108,CUST-13608,LT-106,640000,18.61,12,2023-12-02,Fully Paid
LN-000109,CUST-13993,LT-102,400000,14.03,36,2022-06-25,Fully Paid
LN-000110,CUST-03647,LT-101,3930000,8.94,240,2024-12-26,Active
LN-000111,CUST-10430,LT-105,2530000,15.38,84,2023-08-13,Active
LN-000112,CUST-04089,LT-101,2580000,9.07,180,2022-12-04,Active
LN-000113,CUST-09329,LT-102,880000,13.95,36,2023-05-31,Fully Paid
LN-000114,CUST-00829,LT-101,1340000,8.73,120,2022-04-03,Active
LN-000115,CUST-07155,LT-102,300000,13.18,48,2022-12-16,Active
LN-000116,CUST-02583,LT-101,4390000,12.42,180,2022-10-09,Active
LN-000117,CUST-07743,LT-103,1070000,10.38,120,2022-04-28,Active
LN-000118,CUST-10138,LT-103,1220000,9.67,60,2021-10-02,Active
LN-000119,CUST-14004,LT-102,330000,14.19,12,2021-07-31,Fully Paid
LN-000120,CUST-12139,LT-103,320000,9.81,60,2023-02-18,Active
LN-000121,CUST-08841,LT-101,2180000,12.97,120,2022-04-14,Active
LN-000122,CUST-10044,LT-105,2730000,19.94,120,2025-03-18,Active
LN-000123,CUST-10552,LT-102,730000,13.61,60,2022-02-14,Active
LN-000124,CUST-14506,LT-103,810000,11.01,48,2024-01-27,Active
LN-000125,CUST-05416,LT-101,2430000,8.6,360,2022-09-03,Active
LN-000126,CUST-08262,LT-106,1190000,18.44,36,2022-01-21,Fully Paid
LN-000127,CUST-02965,LT-102,730000,18.4,48,2025-10-14,Defaulted
LN-000128,CUST-14609,LT-101,3660000,8.28,180,2025-01-11,Active
LN-000129,CUST-04719,LT-101,1670000,12.37,240,2025-02-27,Active
LN-000130,CUST-13310,LT-101,2260000,8.4,240,2025-09-07,Active
LN-000131,CUST-07315,LT-104,260000,10.78,60,2024-09-09,Active
LN-000132,CUST-07753,LT-102,680000,14.26,60,2022-10-19,Active
LN-000133,CUST-03096,LT-101,3350000,10.25,240,2023-08-27,Active
LN-000134,CUST-03527,LT-102,590000,13.16,24,2024-08-28,Active
LN-000135,CUST-11549,LT-101,3210000,9.66,120,2024-03-10,Active
LN-000136,CUST-14493,LT-105,2030000,19.7,60,2022-07-17,Active
LN-000137,CUST-13636,LT-102,440000,18.02,12,2025-02-01,Fully Paid
LN-000138,CUST-09257,LT-102,650000,15.64,60,2022-12-11,Active
LN-000139,CUST-01145,LT-102,920000,14.19,60,2022-03-28,Active
LN-000140,CUST-13621,LT-101,2970000,8.9,360,2025-09-23,Active
LN-000141,CUST-02157,LT-102,350000,15.02,24,2025-10-11,Active
LN-000142,CUST-09880,LT-106,750000,17.55,12,2025-04-12,Fully Paid
LN-000143,CUST-14171,LT-102,450000,13.47,24,2022-05-28,Fully Paid
LN-000144,CUST-09891,LT-105,2270000,15.68,36,2025-09-23,Active
LN-000145,CUST-14165,LT-101,2760000,8.36,120,2024-05-11,Active
LN-000146,CUST-00712,LT-103,710000,11.77,120,2024-11-25,Defaulted
LN-000147,CUST-03622,LT-101,4700000,8.92,360,2022-11-05,Active
LN-000148,CUST-07372,LT-105,3090000,15.72,48,2025-12-06,Active
LN-000149,CUST-01834,LT-103,1710000,11.76,36,2022-07-02,Fully Paid
LN-000150,CUST-11283,LT-105,2640000,15.67,120,2022-02-07,Active
LN-000151,CUST-09839,LT-103,400000,10.74,84,2022-08-08,Active
LN-000152,CUST-01797,LT-103,350000,13.63,84,2024-05-16,Active
LN-000153,CUST-02426,LT-102,240000,13.12,24,2025-01-01,Active
LN-000154,CUST-07236,LT-102,400000,14.86,12,2023-08-24,Fully Paid
LN-000155,CUST-05680,LT-104,1820000,10.22,36,2025-03-13,Active
LN-000156,CUST-09822,LT-103,910000,11.73,120,2024-08-26,Active
LN-000157,CUST-03972,LT-102,880000,16.21,48,2022-05-19,Fully Paid
LN-000158,CUST-09296,LT-103,570000,10.07,36,2024-01-08,Active
LN-000159,CUST-11417,LT-106,490000,18.69,18,2025-01-26,Active
LN-000160,CUST-12903,LT-105,2320000,14.65,120,2025-04-07,Active
LN-000161,CUST-05942,LT-102,1160000,15.21,48,2022-12-01,Active
LN-000162,CUST-05162,LT-102,470000,13.83,60,2023-04-15,Active
LN-000163,CUST-07569,LT-106,1530000,18.33,24,2023-03-09,Fully Paid
LN-000164,CUST-10944,LT-101,5900000,12.13,120,2024-11-22,Defaulted
LN-000165,CUST-01435,LT-101,3670000,9.13,120,2022-10-28,Active
LN-000166,CUST-04716,LT-102,1090000,14.42,24,2025-08-27,Active
LN-000167,CUST-13141,LT-102,400000,13.48,12,2022-06-16,Fully Paid
LN-000168,CUST-02962,LT-102,700000,16.09,12,2023-04-14,Fully Paid
LN-000169,CUST-01381,LT-101,5720000,9.01,120,2023-12-11,Active
LN-000170,CUST-12940,LT-101,3840000,8.63,360,2025-02-26,Active
LN-000171,CUST-12115,LT-104,1020000,10.8,36,2023-08-11,Active
LN-000172,CUST-01468,LT-102,360000,13.76,36,2022-07-01,Fully Paid
LN-000173,CUST-06905,LT-105,960000,14.99,60,2021-06-17,Fully Paid
LN-000174,CUST-11033,LT-103,470000,14.18,60,2025-07-20,Active
LN-000175,CUST-03064,LT-101,6680000,7.96,180,2021-12-23,Active
LN-000176,CUST-02905,LT-106,1260000,16.64,24,2025-09-23,Active
LN-000177,CUST-00551,LT-102,740000,14.56,12,2024-10-22,Fully Paid
LN-000178,CUST-13652,LT-102,470000,18.26,60,2024-01-22,Defaulted
LN-000179,CUST-11571,LT-105,1810000,19.43,36,2023-06-09,Fully Paid
LN-000180,CUST-06416,LT-105,1660000,16.84,48,2021-08-24,Defaulted
LN-000181,CUST-14031,LT-103,1620000,10.11,60,2023-02-18,Active
LN-000182,CUST-10707,LT-101,4170000,8.9,180,2024-11-13,Active
LN-000183,CUST-11824,LT-101,3030000,8.37,180,2023-10-07,Active
LN-000184,CUST-11027,LT-101,3180000,8.97,240,2023-02-24,Active
LN-000185,CUST-05329,LT-104,820000,11.89,120,2023-09-05,Active
LN-000186,CUST-09799,LT-104,910000,12.79,48,2023-12-06,Active
LN-000187,CUST-01456,LT-101,4520000,9.05,180,2025-05-24,Active
LN-000188,CUST-00752,LT-101,3530000,13.29,240,2023-01-25,Defaulted
LN-000189,CUST-00064,LT-102,720000,14.01,60,2021-12-01,Active
LN-000190,CUST-11750,LT-105,2670000,14.92,48,2022-08-10,Active
LN-000191,CUST-04524,LT-102,450000,14.57,36,2024-02-15,Active
LN-000192,CUST-13667,LT-103,540000,9.79,48,2022-07-30,Active
LN-000193,CUST-04120,LT-103,1330000,9.96,48,2021-07-08,Fully Paid
LN-000194,CUST-03107,LT-105,3360000,16.09,48,2022-06-29,Fully Paid
LN-000195,CUST-06454,LT-106,690000,17.17,12,2025-10-17,Active
LN-000196,CUST-04116,LT-106,1320000,17.23,24,2024-02-29,Fully Paid
LN-000197,CUST-14362,LT-102,610000,16.29,12,2021-10-03,Fully Paid
LN-000198,CUST-03533,LT-102,360000,14.99,48,2021-08-18,Fully Paid
LN-000199,CUST-06428,LT-104,960000,15.27,36,2025-03-29,Active
LN-000200,CUST-04376,LT-103,1800000,10.47,60,2021-11-10,Active
LN-000201,CUST-04754,LT-104,690000,11.64,48,2022-12-14,Active
LN-000202,CUST-04113,LT-101,2980000,8.95,180,2024-03-07,Active
LN-000203,CUST-03445,LT-103,1000000,10.91,48,2022-02-01,Fully Paid
LN-000204,CUST-13496,LT-101,2270000,9.0,240,2024-12-15,Active
LN-000205,CUST-02628,LT-101,2540000,13.01,180,2024-01-27,Active
LN-000206,CUST-12268,LT-102,660000,14.11,12,2024-11-24,Fully Paid
LN-000207,CUST-12750,LT-103,1000000,9.93,36,2023-07-17,Active
LN-000208,CUST-09232,LT-102,760000,15.48,48,2025-05-03,Active
LN-000209,CUST-13245,LT-102,690000,14.09,12,2024-08-19,Fully Paid
LN-000210,CUST-13016,LT-104,1080000,10.63,48,2024-08-11,Active
LN-000211,CUST-06856,LT-105,2000000,15.97,36,2022-01-06,Fully Paid
LN-000212,CUST-09638,LT-104,1180000,10.84,60,2022-08-18,Active
LN-000213,CUST-01523,LT-101,3200000,10.31,360,2022-08-05,Active
LN-000214,CUST-04144,LT-102,770000,14.28,36,2025-02-01,Active
LN-000215,CUST-02415,LT-103,1300000,10.0,120,2021-06-07,Active
LN-000216,CUST-02561,LT-103,510000,13.49,84,2022-07-08,Active
LN-000217,CUST-11306,LT-102,790000,13.31,12,2025-09-27,Active
LN-000218,CUST-12455,LT-102,350000,14.96,48,2025-03-18,Active
LN-000219,CUST-11593,LT-103,990000,10.13,120,2025-01-15,Active
LN-000220,CUST-00123,LT-103,420000,10.06,120,2024-10-03,Active
LN-000221,CUST-10348,LT-101,2320000,8.51,240,2025-05-06,Active
LN-000222,CUST-00924,LT-103,1470000,9.22,60,2023-09-07,Active
LN-000223,CUST-07593,LT-102,410000,13.44,24,2023-04-13,Fully Paid
LN-000224,CUST-10310,LT-101,6870000,8.66,360,2025-10-18,Active
LN-000225,CUST-02462,LT-101,5210000,8.53,120,2023-06-27,Active
LN-000226,CUST-02706,LT-101,3590000,8.13,120,2025-01-09,Active
LN-000227,CUST-14569,LT-102,1050000,14.08,12,2023-08-29,Fully Paid
LN-000228,CUST-07233,LT-104,1180000,11.41,36,2023-06-08,Fully Paid
LN-000229,CUST-06521,LT-102,780000,14.25,60,2024-03-29,Active
LN-000230,CUST-11761,LT-104,900000,11.46,84,2022-11-17,Active
LN-000231,CUST-08196,LT-102,700000,14.02,24,2021-06-29,Fully Paid
LN-000232,CUST-03916,LT-101,4100000,8.94,180,2024-06-10,Active
LN-000233,CUST-05229,LT-104,860000,11.55,60,2024-10-29,Active
LN-000234,CUST-02576,LT-103,560000,10.42,120,2022-08-13,Active
LN-000235,CUST-07567,LT-101,4140000,10.03,180,2023-06-25,Active
LN-000236,CUST-08334,LT-103,1170000,9.87,120,2023-02-17,Active
LN-000237,CUST-00770,LT-103,1520000,10.4,48,2024-05-01,Active
LN-000238,CUST-13881,LT-102,150000,14.08,60,2021-07-16,Active
LN-000239,CUST-10277,LT-103,1040000,9.99,60,2022-12-13,Defaulted
LN-000240,CUST-08312,LT-101,3860000,8.51,120,2022-10-11,Active
LN-000241,CUST-14786,LT-103,610000,12.15,84,2021-06-05,Defaulted
LN-000242,CUST-14459,LT-101,2910000,8.28,240,2025-07-01,Active
LN-000243,CUST-07308,LT-101,1690000,8.65,180,2024-04-02,Active
LN-000244,CUST-08936,LT-101,5920000,9.3,120,2025-03-21,Active
LN-000245,CUST-05237,LT-101,3690000,8.9,240,2024-08-15,Active
LN-000246,CUST-10956,LT-101,3210000,8.37,240,2022-12-09,Active
LN-000247,CUST-07904,LT-105,3020000,17.46,48,2025-04-18,Active
LN-000248,CUST-01744,LT-105,1930000,14.67,120,2021-09-28,Active
LN-000249,CUST-00924,LT-103,720000,9.27,48,2022-11-06,Active
LN-000250,CUST-09857,LT-104,620000,10.72,84,2023-02-21,Active
LN-000251,CUST-03577,LT-102,530000,14.0,24,2021-08-17,Fully Paid
LN-000252,CUST-03087,LT-102,1190000,13.26,36,2025-03-18,Active
LN-000253,CUST-08855,LT-104,540000,11.07,36,2025-10-31,Active
LN-000254,CUST-12298,LT-102,750000,13.21,60,2025-05-10,Active
LN-000255,CUST-06098,LT-103,800000,11.18,36,2025-05-24,Active
LN-000256,CUST-03573,LT-102,130000,15.65,12,2023-07-22,Fully Paid
LN-000257,CUST-00648,LT-102,610000,14.32,36,2024-01-08,Active
LN-000258,CUST-00234,LT-104,480000,12.72,48,2025-11-22,Active
LN-000259,CUST-00715,LT-102,370000,13.47,24,2023-01-22,Fully Paid
LN-000260,CUST-09634,LT-102,680000,13.3,36,2025-11-29,Active
LN-000261,CUST-00711,LT-101,2960000,9.32,360,2021-09-23,Active
LN-000262,CUST-14738,LT-102,460000,14.29,24,2025-07-05,Active
LN-000263,CUST-00983,LT-103,470000,9.84,36,2021-06-16,Fully Paid
LN-000264,CUST-10906,LT-102,640000,14.62,36,2023-11-10,Active
LN-000265,CUST-06931,LT-103,540000,12.24,84,2024-03-04,Active
LN-000266,CUST-03469,LT-102,440000,13.69,12,2024-01-13,Fully Paid
LN-000267,CUST-10390,LT-102,240000,14.85,12,2023-07-04,Fully Paid
LN-000268,CUST-02303,LT-102,530000,18.44,36,2024-08-16,Active
LN-000269,CUST-05606,LT-105,2200000,15.75,36,2024-07-05,Active
LN-000270,CUST-08430,LT-103,390000,10.05,60,2022-05-09,Active
LN-000271,CUST-11975,LT-102,710000,15.48,36,2022-03-10,Defaulted
LN-000272,CUST-14098,LT-103,440000,9.47,48,2022-11-24,Active
LN-000273,CUST-06949,LT-104,1450000,11.4,84,2024-08-04,Active
LN-000274,CUST-10575,LT-102,250000,13.29,24,2021-11-03,Fully Paid
LN-000275,CUST-07797,LT-104,940000,10.31,84,2025-10-05,Active
LN-000276,CUST-07307,LT-101,1110000,8.77,180,2023-03-02,Active
LN-000277,CUST-14496,LT-103,1010000,9.98,84,2022-10-14,Active
LN-000278,CUST-05419,LT-102,570000,14.14,36,2022-03-08,Fully Paid
LN-000279,CUST-04648,LT-101,1600000,12.17,180,2022-03-11,Defaulted
LN-000280,CUST-06595,LT-105,1730000,15.37,36,2022-01-18,Fully Paid
LN-000281,CUST-06057,LT-102,800000,14.1,36,2022-06-14,Fully Paid
LN-000282,CUST-09037,LT-102,870000,14.42,24,2025-03-20,Active
LN-000283,CUST-06770,LT-102,520000,15.55,12,2025-02-19,Fully Paid
LN-000284,CUST-01976,LT-102,880000,14.17,24,2024-01-28,Fully Paid
LN-000285,CUST-07856,LT-103,1080000,9.99,48,2024-07-28,Active
LN-000286,CUST-02715,LT-105,3510000,15.17,120,2024-09-08,Active
LN-000287,CUST-09057,LT-105,2720000,16.18,120,2023-05-21,Active
LN-000288,CUST-10782,LT-103,1950000,12.04,120,2021-11-07,Defaulted
LN-000289,CUST-05064,LT-102,320000,13.64,36,2023-11-07,Active
LN-000290,CUST-07578,LT-102,290000,13.64,60,2025-05-05,Active
LN-000291,CUST-10719,LT-103,760000,9.78,84,2024-04-02,Active
LN-000292,CUST-00456,LT-102,860000,16.19,12,2024-11-13,Fully Paid
LN-000293,CUST-03954,LT-101,1960000,10.64,360,2025-10-17,Active
LN-000294,CUST-04740,LT-103,760000,9.96,48,2022-03-22,Fully Paid
LN-000295,CUST-04493,LT-105,730000,15.77,84,2025-07-09,Active
LN-000296,CUST-13164,LT-101,5150000,10.29,180,2024-08-11,Active
LN-000297,CUST-06901,LT-101,3970000,9.69,180,2022-08-05,Active
LN-000298,CUST-10449,LT-106,1130000,16.38,12,2022-01-15,Fully Paid
LN-000299,CUST-03549,LT-104,590000,10.34,36,2024-11-24,Active
LN-000300,CUST-03609,LT-102,670000,15.47,48,2023-09-25,Active
LN-000301,CUST-03012,LT-101,3420000,7.98,120,2024-05-15,Active
LN-000302,CUST-11662,LT-105,1840000,15.43,120,2022-01-12,Active
LN-000303,CUST-04703,LT-104,1670000,10.39,84,2022-10-05,Active
LN-000304,CUST-13436,LT-103,660000,9.49,48,2023-06-26,Active
LN-000305,CUST-06203,LT-104,1660000,10.82,120,2023-02-08,Active
LN-000306,CUST-05796,LT-103,2050000,14.22,84,2023-02-10,Active
LN-000307,CUST-10626,LT-103,1520000,10.28,120,2025-05-27,Active
LN-000308,CUST-12927,LT-105,2380000,15.89,120,2022-12-28,Active
LN-000309,CUST-12464,LT-102,830000,16.14,60,2024-04-29,Active
LN-000310,CUST-10980,LT-102,1010000,17.9,36,2021-10-13,Defaulted
LN-000311,CUST-06769,LT-104,1210000,10.61,84,2022-12-24,Active
LN-000312,CUST-14020,LT-101,1470000,10.84,180,2025-10-02,Active
LN-000313,CUST-14154,LT-103,810000,11.47,60,2022-09-17,Active
LN-000314,CUST-08657,LT-102,830000,13.61,24,2021-09-15,Fully Paid
LN-000315,CUST-04671,LT-101,6170000,9.48,360,2022-01-26,Active
LN-000316,CUST-13473,LT-101,2430000,8.48,120,2025-07-25,Active
LN-000317,CUST-12636,LT-101,7550000,8.21,360,2023-11-30,Active
LN-000318,CUST-01066,LT-102,840000,16.27,60,2025-07-27,Active
LN-000319,CUST-05476,LT-101,4220000,10.13,180,2022-10-10,Active
LN-000320,CUST-04861,LT-102,700000,14.1,12,2024-04-30,Fully Paid
LN-000321,CUST-12265,LT-103,1540000,10.88,84,2022-02-03,Active
LN-000322,CUST-06731,LT-103,520000,14.27,60,2024-12-18,Active
LN-000323,CUST-12040,LT-103,690000,9.86,84,2021-08-01,Active
LN-000324,CUST-03289,LT-102,440000,13.92,60,2023-11-23,Active
LN-000325,CUST-05455,LT-103,1520000,10.3,60,2022-08-06,Active
LN-000326,CUST-01984,LT-104,1030000,10.09,36,2025-10-07,Active
LN-000327,CUST-07628,LT-101,3070000,8.06,120,2023-05-21,Active
LN-000328,CUST-05122,LT-105,4110000,17.29,36,2024-07-10,Active
LN-000329,CUST-08112,LT-105,2980000,16.91,84,2023-06-22,Active
LN-000330,CUST-03343,LT-103,700000,10.86,48,2024-03-17,Active
LN-000331,CUST-05138,LT-106,840000,16.29,24,2025-01-22,Active
LN-000332,CUST-12392,LT-101,3580000,8.75,180,2022-08-17,Active
LN-000333,CUST-01114,LT-101,5500000,8.01,180,2022-04-12,Active
LN-000334,CUST-13396,LT-105,1810000,14.69,48,2023-10-05,Active
LN-000335,CUST-08433,LT-101,2110000,10.04,360,2023-04-29,Active
LN-000336,CUST-06004,LT-103,1110000,10.9,36,2022-01-05,Fully Paid
LN-000337,CUST-01774,LT-101,2270000,10.6,360,2023-12-12,Active
LN-000338,CUST-12905,LT-102,360000,13.14,48,2024-08-18,Active
LN-000339,CUST-11946,LT-102,920000,13.98,24,2023-05-03,Fully Paid
LN-000340,CUST-13814,LT-101,5880000,8.67,180,2025-07-10,Defaulted
LN-000341,CUST-08188,LT-103,670000,10.17,60,2023-08-05,Active
LN-000342,CUST-06487,LT-101,1070000,10.77,120,2023-04-19,Active
LN-000343,CUST-09321,LT-102,420000,13.9,60,2022-02-15,Active
LN-000344,CUST-11053,LT-104,1310000,10.17,60,2021-12-29,Active
LN-000345,CUST-06335,LT-103,1240000,10.05,36,2025-03-19,Active
LN-000346,CUST-05882,LT-103,440000,13.94,120,2025-08-08,Defaulted
LN-000347,CUST-11529,LT-102,850000,15.59,12,2022-10-15,Fully Paid
LN-000348,CUST-13386,LT-101,2930000,12.24,120,2024-01-11,Active
LN-000349,CUST-09279,LT-102,510000,15.81,60,2022-06-02,Active
LN-000350,CUST-05914,LT-102,480000,13.73,48,2023-05-26,Active
LN-000351,CUST-14961,LT-101,3090000,8.85,240,2022-05-31,Active
LN-000352,CUST-09502,LT-103,1280000,10.18,84,2022-08-19,Active
LN-000353,CUST-06692,LT-102,1220000,13.65,12,2022-05-06,Fully Paid
LN-000354,CUST-05361,LT-102,720000,16.22,48,2024-10-06,Active
LN-000355,CUST-12929,LT-101,1790000,9.18,180,2023-01-22,Active
LN-000356,CUST-06748,LT-101,2690000,8.43,360,2023-08-12,Active
LN-000357,CUST-00207,LT-105,2100000,17.24,84,2022-08-12,Active
LN-000358,CUST-00685,LT-105,910000,14.72,120,2022-07-29,Defaulted
LN-000359,CUST-12872,LT-104,1490000,11.72,60,2022-04-05,Active
LN-000360,CUST-10496,LT-103,1330000,10.96,120,2022-05-03,Active
